query,time,gamma_mean,gamma_median,horizon_mean,horizon_median,query_shift_rms_mean,query_shift_rms_median,query_shift_projected_cosine_mean,query_shift_projected_cosine_median,weak_revision_rms_mean,weak_revision_rms_median,gap_rms_mean,gap_rms_median,persistent_gap_rms_mean,persistent_gap_rms_median,weak_revision_gap_cosine_mean,weak_revision_gap_cosine_median,persistent_revision_cosine_mean,persistent_revision_cosine_median,projection_identity_ratio_mean,projection_identity_ratio_median,gap_distance_change_fraction_mean,gap_distance_change_fraction_median,weak_revision_projected_cosine_mean,weak_revision_projected_cosine_median,correction_projected_cosine_mean,correction_projected_cosine_median,temporal_response_rms_mean,temporal_response_rms_median,positive_spatial_response_rms_mean,positive_spatial_response_rms_median,spatial_odd_rms_mean,spatial_odd_rms_median,spatial_even_rms_mean,spatial_even_rms_median,odd_fraction_of_positive_spatial_mean,odd_fraction_of_positive_spatial_median,even_fraction_of_positive_spatial_mean,even_fraction_of_positive_spatial_median,temporal_spatial_cosine_mean,temporal_spatial_cosine_median,spatial_temporal_coefficient_mean,spatial_temporal_coefficient_median,spatial_parallel_rms_mean,spatial_parallel_rms_median,spatial_orthogonal_rms_mean,spatial_orthogonal_rms_median,spatial_parallel_energy_fraction_mean,spatial_parallel_energy_fraction_median,naive_cycle_error_rms_mean,naive_cycle_error_rms_median,compensated_cycle_error_rms_mean,compensated_cycle_error_rms_median,cycle_error_ratio_mean,cycle_error_ratio_median
anti_projected,0.05,0.6,0.6,0.03125,0.03125,0.0014763170775253798,0.0012802498531527817,-0.9531249767169356,-1.0,0.07759317386080511,0.0738556869328022,0.11404502228833735,0.10903734341263771,0.14439957472495735,0.1362127885222435,-0.0942791411143844,-0.10604335740208626,-0.6064093949971721,-0.6214378476142883,-0.12689759752993268,-0.15458739548921585,0.6264357251913566,0.5998496413230896,0.9915904044173658,0.999061793088913,0.9915903978981078,0.9990617334842682,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
donor_projected,0.05,0.6,0.6,0.03125,0.03125,0.0013905748261606732,0.0012474014656618237,0.013046537600530428,0.008194724097847939,0.07610378309618682,0.07344802469015121,0.11404502228833735,0.10903734341263771,0.1429777515004389,0.13631892204284668,-0.09050420031417161,-0.10607832297682762,-0.5992016029777005,-0.6194187104701996,-0.1229698427432595,-0.15006934851408005,0.6039364722382743,0.5979205369949341,0.9965767539106309,0.9995532333850861,0.9965767501853406,0.9995531439781189,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
orthogonal_projected,0.05,0.6,0.6,0.03125,0.03125,0.0014763170880982557,0.0012802499695681036,-3.0377123039215803e-10,0.0,0.07631340451189317,0.07365497574210167,0.11404502228833735,0.10903734341263771,0.14314793952507898,0.13627340644598007,-0.09112362185987877,-0.10388762503862381,-0.6003387588425539,-0.6214526891708374,-0.12417936489737258,-0.14751630276441574,0.6071894219385285,0.5977037847042084,0.9964604256674647,0.9995470941066742,0.9964604182168841,0.9995471239089966,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
projected,0.05,0.6,0.6,0.03125,0.03125,0.0014763170775253798,0.0012802498531527817,0.9531249767169356,1.0,0.0750337433128152,0.07299027591943741,0.11404502228833735,0.10903734341263771,0.14159211778314784,0.13632939010858536,-0.08391279021816445,-0.10641052201390266,-0.5908894230960868,-0.6157196462154388,-0.11435171125390298,-0.149989552795887,0.5855542300123489,0.5900781750679016,0.999999993480742,1.0,0.9999999906867743,1.0,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
state_only,0.05,0.6,0.6,0.03125,0.03125,0.0014763170775253798,0.0012802498531527817,0.9531249767169356,1.0,0.0036220736013774513,0.0015900990110822022,0.11404502228833735,0.10903734341263771,0.11324520979542285,0.10902535915374756,-0.03678203271010716,-0.06517599523067474,-0.05947845995797252,-0.07552284374833107,-4.811902687419206,-4.418563604354858,-0.006304066608031178,0.0013839636812917888,-0.22212622468941845,-0.2200569584965706,-0.22212622805091087,-0.22005695104599,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
time_only,0.05,0.6,0.6,0.03125,0.03125,0.0,0.0,0.0,0.0,0.07612175671965815,0.0735783502459526,0.11404502228833735,0.10903734341263771,0.14292280172230676,0.13627541810274124,-0.0898843589820899,-0.1043691635131836,-0.598960614646785,-0.6199355721473694,-0.12234840696260108,-0.15005458146333694,0.6041923470183974,0.5985311269760132,0.9973951629363,0.9997565150260925,0.9973951573483646,0.9997565448284149,0.07612175671965815,0.0735783502459526,0.003608644361520419,0.001712588593363762,0.0035846008170210553,0.0016935095773078501,0.0002632697959370489,0.0002633863332448527,0.9155296343378723,0.9860621392726898,0.18823701230576262,0.14411085844039917,-0.23616703390143812,-0.22094137221574783,-0.013497467364487648,-0.004961940459907055,0.0014240684458348696,0.00040093348070513457,0.0031196875496561915,0.0016312022344209254,0.10364830133255154,0.04920789785683155,0.12005399115150794,0.11678444594144821,0.0026419365676391,0.0018866414320655167,0.021243196906521267,0.016102266497910023
anti_projected,0.15,0.6,0.6,0.03125,0.03125,0.002508565363314119,0.0013702925643883646,-0.8828124920837581,-1.0,0.05493505382037256,0.04763432592153549,0.1711104440037161,0.15309840440750122,0.18450187775306404,0.16473601013422012,-0.08115374807675835,-0.0831238143146038,-0.3746915186929982,-0.3757471591234207,-0.26547320297686383,-0.2728412449359894,0.17013425806499072,0.1570255309343338,0.9664334683911875,0.9964869022369385,0.9664334653643891,0.9964868426322937,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
donor_projected,0.15,0.6,0.6,0.03125,0.03125,0.002134265876236441,0.0011676917783915997,0.008670831275594537,0.0,0.050948173593496904,0.0452326275408268,0.1711104440037161,0.15309840440750122,0.1818703530007042,0.16423311829566956,-0.0626488960624556,-0.06170823611319065,-0.3445420707575977,-0.36415615677833557,-0.19707371038384736,-0.19327019900083542,0.14572444012628694,0.14017078280448914,0.9835175066255033,0.9979879558086395,0.983517506159842,0.9979879558086395,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
orthogonal_projected,0.15,0.6,0.6,0.03125,0.03125,0.0025085653616088166,0.0013702926225960255,1.5916157281026244e-10,0.0,0.05122978170402348,0.04533085599541664,0.1711104440037161,0.15309840440750122,0.18213807488791645,0.16443772614002228,-0.06413296468235785,-0.06944336742162704,-0.346397066663485,-0.3665817528963089,-0.1942675883474294,-0.19655202329158783,0.14839357855271373,0.14810654520988464,0.9835136090405285,0.9982127249240875,0.9835136076435447,0.9982126355171204,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
projected,0.15,0.6,0.6,0.03125,0.03125,0.002508565363314119,0.0013702925643883646,0.8828124920837581,1.0,0.04783044580835849,0.04372363165020943,0.1711104440037161,0.15309840440750122,0.17973739840090275,0.16409064084291458,-0.03954015137423994,-0.051018647849559784,-0.3109025433950592,-0.3531416654586792,-0.06383021853253013,-0.15059825032949448,0.1263907200709582,0.1340208426117897,0.9999999981373549,1.0,0.9999999930150807,1.0,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
