sample_seed,horizon,condition,model_forwards,fid,sfid,inception_score,matched_baseline,baseline_fid,delta_fid
0,1,fmc_g4_h1_early2_rho4p0_matched47,5922,73.64194402621803,217.76260994324036,34.32403564453125,ag_g4_closed47,74.02764315455505,-0.38569912833702347
0,2,fmc_g4_h2_early2_rho4p0_matched51,6426,73.07694289135327,217.22261623147074,35.170196533203125,ag_g4_closed51,74.12136773234408,-1.0444248409908141
0,5,fmc_g4_h5_early2_rho4p0_matched63,7938,72.887611748913,217.1403147144464,35.38463592529297,ag_g4_closed63,74.4785363828397,-1.5909246339267042
0,10,fmc_g4_h10_early2_rho4p0_matched83,10458,73.49896751891117,218.67416840798023,35.14324951171875,ag_g4_closed83,74.66367702167253,-1.1647095027613545
1,1,fmc_g4_h1_early2_rho4p0_matched47,5922,72.24736324354728,216.11792826775763,34.06187438964844,ag_g4_closed47,73.56591056103446,-1.3185473174871731
1,2,fmc_g4_h2_early2_rho4p0_matched51,6426,72.52748588845316,215.42819206518197,35.970306396484375,ag_g4_closed51,73.74712637175969,-1.2196404833065344
1,5,fmc_g4_h5_early2_rho4p0_matched63,7938,71.97691155271076,214.97217059329273,34.364768981933594,ag_g4_closed63,73.10423921570424,-1.1273276629934799
1,10,fmc_g4_h10_early2_rho4p0_matched83,10458,72.67653094946326,215.98021573213418,33.80253982543945,ag_g4_closed83,72.40237252902295,0.27415842044030114
