variant,step,fid_5k,delta_vs_base
base,0,10.989063262939453,0.0
static,250,10.921380996704102,-0.06768226623535156
static,500,10.797667503356934,-0.19139575958251953
static,750,10.61686897277832,-0.3721942901611328
static,1000,10.460898399353027,-0.5281648635864258
