condition,family,operator,local_gamma,foresight_relaxation,model_forwards,fid,sfid,inception_score
cfg_w1p5_closed40,cfg,closed,,,5040,61.116176,215.687952,46.146278
cfg_w1p5_closed50,cfg,closed,,,6300,60.803242,215.491541,46.181896
cfg_w1p5_fsg40_matched50,cfg,foresight,,,6300,57.885996,210.631929,55.011597
ag_g0_closed40,ag,closed,0,0,5040,92.570615,223.241055,28.320696
ag_g1_closed40,ag,closed,1,0,5040,86.701163,222.764321,30.622618
ag_g3_closed40,ag,closed,3,0,5040,76.725780,221.438892,33.335163
ag_g1_fsg40_weakref,ag,guided_forward_weak_inverse,1,1,5985,137.228845,229.527757,18.895618
ag_g1_fsg40_strongref,ag,guided_forward_strong_inverse,1,1,5985,159.894226,239.585461,13.263368
ag_g3_fsg40_weakref,ag,guided_forward_weak_inverse,3,1,5985,98.785002,217.756986,26.631639
ag_g3_fsg40_strongref,ag,guided_forward_strong_inverse,3,1,5985,111.579041,221.938272,23.938996
ag_g0_fsg40_strongforward_weakinverse,ag,strong_forward_weak_inverse,0,1,5985,168.144517,243.198642,12.765726
ag_g1_fsg40_strongforward_weakinverse,ag,strong_forward_weak_inverse,1,1,5985,141.673643,231.789180,17.417418
ag_g3_fsg40_strongforward_weakinverse_rho0p05,ag,strong_forward_weak_inverse,3,0.05,5985,77.846109,222.570260,33.067978
ag_g3_fsg40_strongforward_weakinverse_rho0p1,ag,strong_forward_weak_inverse,3,0.1,5985,79.142774,223.957638,32.938725
ag_g3_fsg40_strongforward_weakinverse_rho0p25,ag,strong_forward_weak_inverse,3,0.25,5985,83.045847,227.805604,31.844666
ag_g3_fsg40_strongforward_weakinverse_rho0p5,ag,strong_forward_weak_inverse,3,0.5,5985,91.988472,228.916772,28.940271
ag_g3_fsg40_strongforward_weakinverse,ag,strong_forward_weak_inverse,3,1,5985,107.985659,220.739524,24.744024
