condition,training_steps,samples_seen,training_objective,velocity_mse_unseen1024,velocity_mse_delta_pct_vs_base,fid_adm,fid_jit,inception_score,fdr3,formal_feature_eval_world_size,num_generated_images
base,0,0,none,0.06838849082123488,0.0,8.984918,8.842908,152.5534,14.106647640562336,2,5000
static_10k,10000,720000,static_frechet_distance,0.07071491645183414,3.401779455377163,7.522715,7.531781,168.0654,9.266074769116443,2,5000
advfd_10k,10000,720000,static_plus_adaptive_frechet_distance,0.07057708641514182,3.200239642117353,7.426595,7.550324,170.577,9.472376160860941,2,5000
velocity_5k,5000,360000,local_h0_velocity_mse,0.06756022764602676,-1.2111148605006838,13.388001,13.564183,109.9407,23.820180580612384,2,5000
velocity_10k,10000,720000,local_h0_velocity_mse,0.06751687754876912,-1.274502861518223,13.225491,13.413247,109.9659,23.58844170064651,2,5000
