condition,training_step,num_images,world_size,fid_jit,fid_adm,inception_score,convnext_fd,convnext_fdr,dinov2_fd,dinov2_fdr,clip_fd,clip_fdr,fdr3
static,9999,5000,4,7.520248,7.502744,164.8771,169.219009,2.9755408651310007,148.187317,10.44308083157153,82.623558,14.754206785714286,9.390942827472273
advfd,9999,5000,4,7.544381,7.399093,167.9054,180.814575,3.179436873571303,148.704544,10.479530937279774,83.556923,14.920879107142857,9.526615639331311
