refresh_steps,cos_to_current_mean,cos_to_current_std,current_norm_over_refresh_norm
0,0.816713461244056,0.06863162241069992,0.9175988647102689
1,0.8591713158999269,0.04691275437054598,1.0937548696592705
2,0.8782763162347763,0.03748731008421772,1.215258647566697
5,0.9038192877379864,0.027308387955035526,1.4620840769148953
10,0.9208802588904099,0.023404833282766085,1.7189180803317092
20,0.9355359217794431,0.021711892993568144,2.0080384701413143
50,0.951975371406084,0.019464603621698082,2.2421712366708237
100,0.963297737659844,0.01643701063297145,2.0226117146222014
200,0.9747570018962396,0.011914424735369068,1.4208688944056522
500,0.9916667276085231,0.0039883571959123355,0.9343245595596669
