arm,fid,sfid,inception_score,full_calls_per_image,auxiliary_full_calls_per_image,sum_batch_gpu_seconds,mode_counts,mode_fractions,query_weighted_effective_alpha,query_weighted_orthogonal_relative,query_weighted_strong_antisymmetry,query_weighted_weak_antisymmetry,maximum_batch_block_image_mean_alpha
ig_restarted,65.13932039644499,208.80662834522775,35.6368522644043,113.776,0.0,91.5974884359166,"[0, 0, 0]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,0.0
precision_rank1,88.2596773135283,226.9707536118426,26.412336349487305,2300.592,1502.864,1555.540835800115,"[62220, 690212, 0]","[0.08269185786888383, 0.9173081421311162, 0.0]",62.07593473994284,2.762207812031112e-07,0.0,0.0,3890.646236621931
