requested_time,actual_time,epsilon,samples,gap_rms_mean,gap_rms_std,gap_rms_min,action_rms_mean,action_rms_std,action_rms_min,rayleigh_mean,rayleigh_std,rayleigh_min,action_gap_cosine_mean,action_gap_cosine_std,action_gap_cosine_min,orthogonal_rms_mean,orthogonal_rms_std,orthogonal_rms_min,positive_rayleigh_mean,positive_rayleigh_std,positive_rayleigh_min,matched_total_rms_over_gap_mean,matched_total_rms_over_gap_std,matched_total_rms_over_gap_min,matched_orthogonal_rms_over_gap_mean,matched_orthogonal_rms_over_gap_std,matched_orthogonal_rms_over_gap_min
0.95,0.9491525292396545,0.01,2,0.17755073308944702,0.010954722762107849,0.16659601032733917,11.687730312347412,0.05291891098022461,11.634811401367188,7.426559686660767,0.3305661678314209,7.095993518829346,0.6353000104427338,0.025406688451766968,0.6098933219909668,9.016723155975342,0.2036738395690918,8.81304931640625,1.0,0.0,1.0,1.5765809416770935,0.06305009126663208,1.5135308504104614,1.2177518606185913,0.08162879943847656,1.1361230611801147
0.95,0.9491525292396545,0.003,2,0.17755073308944702,0.010954722762107849,0.16659601032733917,14.365915298461914,1.0929441452026367,13.272971153259277,8.388982057571411,0.74387526512146,7.645106792449951,0.5833876430988312,0.00739702582359314,0.575990617275238,11.661366939544678,0.8112931251525879,10.85007381439209,1.0,0.0,1.0,1.7144017219543457,0.02173769474029541,1.6926640272140503,1.3924545049667358,0.026763558387756348,1.3656909465789795
0.8,0.7975830435752869,0.01,2,0.2108907252550125,0.013819828629493713,0.1970708966255188,2.5485156774520874,0.3230358362197876,2.2254798412323,1.3026983737945557,0.22170567512512207,1.0809926986694336,0.5082994550466537,0.022564783692359924,0.4857346713542938,2.1894110441207886,0.24410498142242432,1.9453060626983643,1.0,0.0,1.0,1.9712290167808533,0.08750826120376587,1.8837207555770874,1.6979635953903198,0.10159158706665039,1.5963720083236694
0.8,0.7975830435752869,0.003,2,0.2108907252550125,0.013819828629493713,0.1970708966255188,2.5613192319869995,0.33073294162750244,2.230586290359497,1.2993640303611755,0.2218819260597229,1.0774821043014526,0.5045289844274521,0.02148015797138214,0.48304882645606995,2.2063580751419067,0.2532714605331421,1.9530866146087646,1.0,0.0,1.0,1.9856457710266113,0.08453822135925293,1.9011075496673584,1.7147457003593445,0.09789377450942993,1.6168519258499146
0.65,0.6523604989051819,0.01,2,0.2024337276816368,0.014362163841724396,0.18807156383991241,1.181476891040802,0.05922883749008179,1.1222480535507202,0.6907936334609985,0.06601560115814209,0.6247780323028564,0.5833514630794525,0.02663138508796692,0.5567200779914856,0.9577024281024933,0.025450855493545532,0.9322515726089478,1.0,0.0,1.0,1.7178125977516174,0.07842224836349487,1.6393903493881226,1.3956046104431152,0.0965278148651123,1.299076795578003
0.65,0.6523604989051819,0.003,2,0.2024337276816368,0.014362163841724396,0.18807156383991241,1.1819819808006287,0.05901890993118286,1.1229630708694458,0.6907203793525696,0.06593191623687744,0.6247884631156921,0.5830431282520294,0.02666822075843811,0.5563749074935913,0.9583759009838104,0.02527061104774475,0.9331052899360657,1.0,0.0,1.0,1.7187348008155823,0.07861441373825073,1.6401203870773315,1.396735966205597,0.09673792123794556,1.2999980449676514
0.5,0.4971751570701599,0.01,2,0.18497231602668762,0.010878100991249084,0.17409421503543854,0.8481428623199463,0.05629938840866089,0.7918434739112854,0.6186269521713257,0.06649696826934814,0.5521299839019775,0.7273907661437988,0.030119121074676514,0.6972716450691223,0.5790201425552368,0.01142120361328125,0.5675989389419556,1.0,0.0,1.0,1.377138078212738,0.05702322721481323,1.3201148509979248,0.9449096024036407,0.08310732245445251,0.8618022799491882
0.5,0.4971751570701599,0.003,2,0.18497231602668762,0.010878100991249084,0.17409421503543854,0.8481985032558441,0.05631062388420105,0.7918878793716431,0.6186327636241913,0.06650885939598083,0.5521239042282104,0.7273491322994232,0.030124276876449585,0.6972248554229736,0.5790950357913971,0.011428207159042358,0.5676668286323547,1.0,0.0,1.0,1.377217948436737,0.05703955888748169,1.3201783895492554,0.9450253546237946,0.08312579989433289,0.8618995547294617
0.4,0.41025641560554504,0.01,2,0.1695336475968361,0.00821896642446518,0.1613146811723709,0.8035930693149567,0.059836775064468384,0.7437562942504883,0.651380717754364,0.0683397650718689,0.5830409526824951,0.8087369203567505,0.02482295036315918,0.7839139699935913,0.4693796932697296,0.007604151964187622,0.461775541305542,1.0,0.0,1.0,1.2376620173454285,0.037988126277923584,1.1996738910675049,0.7273735404014587,0.06463867425918579,0.662734866142273
0.4,0.41025641560554504,0.003,2,0.1695336475968361,0.00821896642446518,0.1613146811723709,0.8036311864852905,0.059845685958862305,0.7437855005264282,0.6513951122760773,0.06834766268730164,0.5830474495887756,0.8087161183357239,0.024824202060699463,0.7838919162750244,0.46942487359046936,0.007610499858856201,0.46181437373161316,1.0,0.0,1.0,1.2376940250396729,0.037992000579833984,1.1997020244598389,0.7274279296398163,0.0646420419216156,0.6627858877182007
0.3,0.29629629850387573,0.01,2,0.14280128479003906,0.00542740523815155,0.1373738795518875,0.8187132775783539,0.05766060948371887,0.761052668094635,0.7384827733039856,0.0627061128616333,0.6757766604423523,0.9010794758796692,0.01312953233718872,0.8879499435424805,0.35259149968624115,0.0025528818368911743,0.35003861784935,1.0,0.0,1.0,1.1100156903266907,0.016173899173736572,1.093841791152954,0.4806257337331772,0.0373540073633194,0.4432717263698578
