rank,condition,batch_start,batch_end,active_frequency_steps,mean_frequency_direction_rms,mean_frequency_model_gap_cosine
0,no_ig,0,1,0,0.0,0.0
0,scalar_ig,0,1,0,0.0,0.0
0,freq_alpha_m0p5,0,1,69,0.1995405784088856,0.2838183468870216
0,freq_alpha_0p5,0,1,69,0.1957718776008859,0.2700190830109938
0,freq_alpha_1,0,1,69,0.1796067742690489,0.2677990312101198
1,no_ig,0,1,0,0.0,0.0
1,scalar_ig,0,1,0,0.0,0.0
1,freq_alpha_m0p5,0,1,69,0.2765819096823631,0.4293967304928845
1,freq_alpha_0p5,0,1,69,0.2304967270914314,0.3709674106644282
1,freq_alpha_1,0,1,69,0.2044710749613729,0.349541619154046
2,no_ig,0,1,0,0.0,0.0
2,scalar_ig,0,1,0,0.0,0.0
2,freq_alpha_m0p5,0,1,69,0.2481414573247548,0.4071727860386847
2,freq_alpha_0p5,0,1,69,0.2371096212162905,0.3447812819799458
2,freq_alpha_1,0,1,69,0.2133423819232409,0.3246419227014268
3,no_ig,0,1,0,0.0,0.0
3,scalar_ig,0,1,0,0.0,0.0
3,freq_alpha_m0p5,0,1,69,0.2137130027828103,0.3235855792473953
3,freq_alpha_0p5,0,1,69,0.196952848397888,0.3075701294853395
3,freq_alpha_1,0,1,69,0.1821379280490425,0.2933233451350971
