construction,step,time,left_sigma,right_sigma,slope_direction_cosine_mean,slope_direction_cosine_median,slope_rms_ratio_mean
oracle_clean_axis,30,0.9491525292396544,0.35,0.7,0.9215113480618646,0.9378820105658192,0.6769777828741973
oracle_clean_axis,30,0.9491525292396544,0.7,1.0,0.961429021038974,0.9663738857614226,0.7019724451025595
oracle_clean_axis,50,0.8888888955116272,0.35,0.7,0.8577469895017876,0.8717201831017143,0.6022473273041915
oracle_clean_axis,50,0.8888888955116272,0.7,1.0,0.9350182166692524,0.9427863121475681,0.6539020894134283
oracle_clean_axis,70,0.774193525314331,0.35,0.7,0.8185197064139943,0.828060204535761,0.66830409498894
oracle_clean_axis,70,0.774193525314331,0.7,1.0,0.9393022093465249,0.9423974976776578,0.634667312571749
oracle_clean_axis,85,0.5853658318519592,0.35,0.7,0.8834957432769333,0.8883156988186915,0.7651176277058751
oracle_clean_axis,85,0.5853658318519592,0.7,1.0,0.9516803151865082,0.9530329713433346,0.6590975567110104
oracle_clean_axis,95,0.2962962985038757,0.35,0.7,0.9463642084215442,0.9467064421057574,0.6657910753458779
oracle_clean_axis,95,0.2962962985038757,0.7,1.0,0.9766822153884889,0.9769391675164276,0.6328888670206608
oracle_clean_axis,98,0.1403508782386779,0.35,0.7,0.9626697320162866,0.9627892238870881,0.598833188950269
oracle_clean_axis,98,0.1403508782386779,0.7,1.0,0.9848488171545746,0.9848663515841559,0.6085258539892531
predicted_clean_axis,30,0.9491525292396544,0.35,0.7,0.9283700617393369,0.949011629692206,0.867861281050148
predicted_clean_axis,30,0.9491525292396544,0.7,1.0,0.9578570409658365,0.9644793176224025,0.8016180377321009
predicted_clean_axis,50,0.8888888955116272,0.35,0.7,0.8438976163522225,0.8554603187803254,0.7513428902924626
predicted_clean_axis,50,0.8888888955116272,0.7,1.0,0.923896715696111,0.9320044104200906,0.706069437717224
predicted_clean_axis,70,0.774193525314331,0.35,0.7,0.8066596076717295,0.8207400991023177,0.7846219805123816
predicted_clean_axis,70,0.774193525314331,0.7,1.0,0.9300111313539614,0.9348731098254937,0.6589606304501346
predicted_clean_axis,85,0.5853658318519592,0.35,0.7,0.887396583902854,0.8915354932372412,0.8090064621576455
predicted_clean_axis,85,0.5853658318519592,0.7,1.0,0.9483339147141294,0.949941617850711,0.6710653600153421
predicted_clean_axis,95,0.2962962985038757,0.35,0.7,0.9503607537142125,0.9510761947543579,0.6791210721579453
predicted_clean_axis,95,0.2962962985038757,0.7,1.0,0.9770053260154513,0.9770919850267967,0.6367253496611835
predicted_clean_axis,98,0.1403508782386779,0.35,0.7,0.9646322921144158,0.9646960453068687,0.6049708419366524
predicted_clean_axis,98,0.1403508782386779,0.7,1.0,0.9851630160930439,0.9851547799108353,0.6098087093464926
