sample_id,step,time,sigma,tau_sigma_squared,construction,alpha_star,target_direction_cosine,model_gap_cosine,pred_oracle_direction_cosine,direction_rms,target_residual_rms,state_perturbation_relative_rms,noise_preservation_rms_error,base_mse,relative_mse_change_alpha_m0p5,relative_mse_change_alpha_0p25,relative_mse_change_alpha_0p5,relative_mse_change_alpha_1
0,30,0.9491525292396545,0.35,0.12249999999999998,predicted_clean_axis,1.520447067277112,0.07652123941596806,0.4827692796307047,0.8288082583010743,0.031162188054339544,0.6191804758885192,0.0028722383461388555,4.578823595500542e-08,0.3833844617578062,0.004484399831991298,-0.001767277517007821,-0.00321794010135738,-0.0051694204720808415
0,30,0.9491525292396545,0.35,0.12249999999999998,oracle_clean_axis,2.14678450987091,0.1898739618443083,0.40870772738868993,0.8288082583010743,0.054763880358288414,0.6191804758885192,0.010264568448912442,4.501378714023159e-08,0.3833844617578062,0.01874920717197162,-0.007907856646366947,-0.014837881999654554,-0.02576443882699219
0,30,0.9491525292396545,0.7,0.48999999999999994,predicted_clean_axis,0.4339262406580687,0.06545492255606611,0.531686687809214,0.8305508461911082,0.09339930684083086,0.6191804758885192,0.007124517020983722,4.551358253698658e-08,0.3833844617578062,0.01556188013609797,-0.0035146137420136838,-0.004185009933337263,0.00300685033608618
0,30,0.9491525292396545,0.7,0.48999999999999994,oracle_clean_axis,0.8495656674291715,0.17700258588048023,0.4558847724955858,0.8305508461911082,0.12900303009020941,0.6191804758885192,0.02233845667872275,4.5073406874337444e-08,0.3833844617578062,0.04772945621928592,-0.015725811712173934,-0.026025679159368705,-0.030347581258820342
0,30,0.9491525292396545,1.0,1.0,predicted_clean_axis,0.2370113999899734,0.05388397849826077,0.526431145368258,0.8457139387725067,0.14076920962760134,0.6191804758885192,0.009750578663211645,4.551646877873552e-08,0.3833844617578062,0.02517212991197644,-0.002894763360037254,0.0006713410105592267,0.02718615294365383
0,30,0.9491525292396545,1.0,1.0,oracle_clean_axis,0.5872889006843315,0.1613036973356911,0.4763910913453222,0.8457139387725067,0.17006297916155308,0.6191804758885192,0.027355351642412706,4.5423672691476e-08,0.3833844617578062,0.06316265723916077,-0.017436869972557875,-0.025444100847100595,-0.01316964530214117
0,50,0.8888888955116272,0.35,0.12249999999999998,predicted_clean_axis,0.08855862385974515,0.011089583358645879,0.41675434456541977,0.7190684476618855,0.06752842661497707,0.5392650326915789,0.011846960426860155,4.6923268655265074e-08,0.290806775607674,0.005308876482009874,0.00028571531428483803,0.0025315329987624143,0.012903475478296926
0,50,0.8888888955116272,0.35,0.12249999999999998,oracle_clean_axis,1.56500997366878,0.2511925835743858,0.37564535199039567,0.7190684476618855,0.08655496071732516,0.5392650326915789,0.023794571087101514,4.720690677314692e-08,0.290806775607674,0.046758268673852924,-0.01854876122505322,-0.03387727370885786,-0.05487355245272105
0,50,0.8888888955116272,0.7,0.48999999999999994,predicted_clean_axis,0.0245540918326787,0.008629878955579009,0.4606683172843714,0.8537296755673427,0.1895322371854542,0.5392650326915789,0.027285341060371806,4.6657902944092244e-08,0.290806775607674,0.03391482474338661,0.006203887466570755,0.02784864149198441,0.11746074921933965
0,50,0.8888888955116272,0.7,0.48999999999999994,oracle_clean_axis,0.4540157382509696,0.17560135570972119,0.44214801448590696,0.8537296755673427,0.20857354238927894,0.5392650326915789,0.051783374638066884,4.735350420704373e-08,0.290806775607674,0.10531646692368331,-0.024609375358010555,-0.030519511980133526,0.013757930983282733
