experiment,metric_file,branch,fid,inception_score,sfid,sample_sha256,sample_path
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.csv,pfr_h0p015625_r0p2,40.34922452435262,,,5b2e4086df4c9456e7a891f611a3cc005fcb5adcc8bbdceb4c615c4ffcc1c531,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p015625_r0p2/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.csv,pfr_h0p03125_r0p05,40.18046303835837,,,5b3b750f299d0d70400522ff2ec2404c8a23c75ace0aa6b7bf3492dfda4ba121,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p03125_r0p05/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.csv,pfr_h0p03125_r0p1,40.30143668357579,,,26472b2db621c7a6c4a3036d5c94391d9ca2a042a31346dc0a9907e51c27011b,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p03125_r0p1/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.json,full,41.34721111751986,,,985e60be01f89613191f5bb9fd307108f206891180aeb00d5e0ea391b35d5a7f,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/full/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.json,ig_s1p78,40.78168877580066,,,57172eb750df845e9bfca509ab78e4625c4873bcbf3960434a8271dec05cc526,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/ig_s1p78/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.json,pfr_h0p015625_r0p1,40.22049100431093,,,91d700523fbdb99de14e8cc70ca3991b04e4d0a8ed98efc001e2d74469db2b99,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p015625_r0p1/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.json,pfr_h0p015625_r0p2,40.34922452435262,,,5b2e4086df4c9456e7a891f611a3cc005fcb5adcc8bbdceb4c615c4ffcc1c531,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p015625_r0p2/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.json,pfr_h0p03125_r0p05,40.18046303835837,,,5b3b750f299d0d70400522ff2ec2404c8a23c75ace0aa6b7bf3492dfda4ba121,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p03125_r0p05/samples.npz
raev2_pfr_retiming_v1,fid1k_seed20260904/metrics.json,pfr_h0p03125_r0p1,40.30143668357579,,,26472b2db621c7a6c4a3036d5c94391d9ca2a042a31346dc0a9907e51c27011b,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid1k_seed20260904/pfr_h0p03125_r0p1/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/legacy_metrics.csv,ig_s1p78,10.647873768783995,,,60a831119169a7e72591ffbd0e990992455b162d90eafd9713e0b6db98342f6e,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/ig_s1p78/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/legacy_metrics.csv,pfr_h0p03125_r0p05,10.76113456503731,,,b34b31e21ace5d5f2627e5bc9c879b3970a6a3df76294964c8fddc7adda94c20,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/pfr_h0p03125_r0p05/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/legacy_metrics.json,ig_s1p78,10.647873768783995,,,60a831119169a7e72591ffbd0e990992455b162d90eafd9713e0b6db98342f6e,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/ig_s1p78/samples.npz
