t,variant,n,terminal_rms,path_mean_squared_rms,conditional_target_probability,null_target_probability,conditional_terminal_change_rms,null_terminal_change_rms,conditional_target_success,null_target_success
0.125,unchanged,64,0.2746898781042546,0.022678846384224016,0.3282167563243803,0.008224834499550627,0.0,0.0,0.375,0.03125
0.125,root1,64,0.26151398371439427,0.020593544453731738,0.3285904246810354,0.009248701302097933,0.0321784473999287,0.04621903793304227,0.40625,0.015625
0.125,root4,64,0.2328438888071105,0.016178057067008922,0.32774486366691846,0.014461800342241711,0.10197942837839946,0.12973034131573513,0.421875,0.015625
0.125,tube1,64,0.2646022798726335,0.02115600039542187,0.32660774616349997,0.009555007438155863,0.026455241324583767,0.03588772355942638,0.40625,0.015625
0.125,path1,64,0.26077849487774074,0.020444943889742717,0.3286595684544835,0.009623245818973255,0.033660805733234156,0.04891461067018099,0.40625,0.015625
0.375,unchanged,64,0.1099832154577598,0.004180046807960025,0.3282167563243803,0.11101813785520953,0.0,0.0,0.375,0.125
0.375,root1,64,0.10470393556170166,0.003780132992687868,0.3372325563020162,0.12447000153042609,0.019875527825206518,0.024963811089037335,0.40625,0.125
0.375,root4,64,0.09585401328513399,0.0031948885716701625,0.3625293225793573,0.15157832402913307,0.06438690795039292,0.07588766110711731,0.421875,0.15625
0.375,tube1,64,0.10552175308112055,0.0038443501380243106,0.33616361972990916,0.12181008545171323,0.01816939549826202,0.0220602964363934,0.40625,0.125
0.375,path1,64,0.10458621103316545,0.003768481574297766,0.3381919143199781,0.12448025992391365,0.02053137102848268,0.025736028238497966,0.40625,0.125
0.625,unchanged,64,0.027121395265567116,0.0003126660839143369,0.3282167563243803,0.24685682799625042,0.0,0.0,0.375,0.3125
0.625,root1,64,0.026296850730432197,0.0002940799869293187,0.34564211463212047,0.25876088864814406,0.013823245928506367,0.014579792779841227,0.40625,0.3125
0.625,root4,64,0.025186455590301193,0.00027163185188783245,0.39384743310236203,0.29900846815127835,0.04446433734847233,0.04604905017185956,0.484375,0.34375
0.625,tube1,64,0.026340061784139834,0.0002951270223547908,0.3440029223319776,0.25710536081864,0.013095767661070568,0.01379513737083471,0.40625,0.3125
0.625,path1,64,0.026273141702404246,0.0002931885591124228,0.3459110613954337,0.25999440438363486,0.014038119934411952,0.014831113803666085,0.40625,0.3125
