s,x1,x2,anchored_loss,predicted_anchored_loss
0.0,0.7,-0.4,0.3200180000000001,0.3200180000000001
0.05,0.74,-0.43426000000000003,0.288816245,0.2888162450000001
0.1,0.78,-0.47044000000000014,0.25921457999999997,0.2592145800000001
0.15000000000000002,0.82,-0.50854,0.23121300500000005,0.23121300500000003
0.2,0.86,-0.54856,0.20481152,0.20481152000000008
0.25,0.8999999999999999,-0.5904999999999999,0.18001012500000005,0.18001012500000005
0.30000000000000004,0.94,-0.63436,0.15680882000000002,0.15680882000000002
0.35000000000000003,0.98,-0.6801400000000001,0.135207605,0.13520760499999998
0.4,1.02,-0.72784,0.11520648,0.11520648000000003
0.45,1.06,-0.7774600000000002,0.09680544499999999,0.09680544500000005
0.5,1.1,-0.8290000000000002,0.08000449999999996,0.08000450000000002
0.55,1.1400000000000001,-0.8824600000000001,0.06480364499999995,0.064803645
0.6000000000000001,1.1800000000000002,-0.9378400000000002,0.051202879999999944,0.051202879999999985
0.65,1.22,-0.99514,0.039202205000000004,0.039202205000000004
0.7000000000000001,1.26,-1.0543600000000002,0.02880162,0.028801619999999993
0.75,1.3,-1.1155000000000002,0.02000112499999999,0.020001125000000005
0.8,1.34,-1.17856,0.012800719999999986,0.012800719999999996
0.8500000000000001,1.3800000000000001,-1.24354,0.007200404999999986,0.007200404999999994
0.9,1.42,-1.31044,0.0032001800000000056,0.003200179999999999
0.9500000000000001,1.46,-1.37926,0.0008000450000000015,0.0008000449999999981
1.0,1.5,-1.45,1.5407439555097887e-33,0.0
