t,baseline_teacher_group,n,mean_delta_terminal_rms,mean_delta_conditional_target_probability,mean_delta_null_target_probability,residual_decreased_count,residual_decreased_and_null_q_increased_count
0.125,all,64,-0.041845989297144115,-0.0004718926574618365,0.006236965842691084,64,33
0.125,correct,24,-0.04576457509150108,-0.07109578520370026,0.018292056580167564,24,12
0.125,incorrect,40,-0.03949483782052994,0.04190244287028122,-0.0009960885997948032,40,21
0.375,all,64,-0.01412920217262581,0.03431256625497703,0.04056018617392354,64,40
0.375,correct,24,-0.015314469579607248,0.011800969329973062,0.09904657199786016,24,17
0.375,incorrect,40,-0.013418041728436947,0.04781952440997941,0.005468354679561571,40,23
0.625,all,64,-0.0019349396752659231,0.06563067677798173,0.052151640155027934,64,43
0.625,correct,24,-0.0018784285057336092,0.061567371090253196,0.10711578807483117,24,21
0.625,incorrect,40,-0.0019688463769853117,0.06806866019061886,0.019173151403145995,40,22
