experiment,gamma,fid,sfid,inception_score,num_samples,integrator,noise_sha256,label_sha256,total_nfe,elapsed_seconds,condition_name,fid_improvement_vs_baseline
depth12_v,0.0,84.97033706467732,222.25091085141594,29.52147102355957,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,48.78441646002466,gamma_schedule_sweep_v4_baseline_v800,0.0
depth12_v,0.1,84.73011821578689,221.75086883124243,29.567142486572266,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,49.88461362099042,gamma_schedule_sweep_v4_depth12_v_g0p1,0.24021884889043577
depth12_v,0.2,84.44252070859966,221.23982335781454,29.43910026550293,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6730,77.89239589194767,gamma_schedule_sweep_v4_depth12_v_g0p2,0.5278163560776648
depth12_v,0.25,84.35541821075299,221.03170676734203,29.445972442626953,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6826,88.38834333204431,gamma_schedule_sweep_v4_depth12_v_g0p25,0.6149188539243369
depth12_v,0.3,84.26551245501139,220.8100409632326,29.483957290649414,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6790,59.47080626897514,gamma_schedule_sweep_v4_depth12_v_g0p3,0.7048246096659341
depth12_v,0.35,84.14620244772834,220.5877572623582,29.48287582397461,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6772,64.73215390503174,gamma_schedule_sweep_v4_depth12_v_g0p35,0.8241346169489816
depth12_v,0.4,83.97502789858055,220.35037804689853,29.443599700927734,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6688,61.60307885002112,gamma_schedule_sweep_v4_depth12_v_g0p4,0.9953091660967743
depth12_v,0.45,83.89825906737906,220.13107641383465,29.463590621948242,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6760,50.14129062497523,gamma_schedule_sweep_v4_depth12_v_g0p45,1.0720779972982655
depth12_v,0.5,83.87585244711784,219.91034671430316,29.368881225585938,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6778,52.855269792024046,gamma_schedule_sweep_v4_depth12_v_g0p5,1.0944846175594876
depth12_v,0.55,83.71987139782044,219.64989036356565,29.448991775512695,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6802,52.05628696602071,gamma_schedule_sweep_v4_depth12_v_g0p55,1.2504656668568828
