gamma,depth4_v,depth6_v,depth8_v,depth10_v,depth12_v,schedule_4_6_native,schedule_6_4_native,schedule_4_6_rms,schedule_6_4_rms,schedule_4_8_native,schedule_8_4_native,schedule_4_8_rms,schedule_8_4_rms,schedule_4_10_native,schedule_10_4_native,schedule_4_10_rms,schedule_10_4_rms,schedule_6_8_native,schedule_8_6_native,schedule_6_8_rms,schedule_8_6_rms,schedule_6_10_native,schedule_10_6_native,schedule_6_10_rms,schedule_10_6_rms,schedule_8_10_native,schedule_10_8_native,schedule_8_10_rms,schedule_10_8_rms,schedule_4_6_8_native,schedule_8_6_4_native,schedule_4_6_8_rms,schedule_8_6_4_rms,schedule_4_6_10_native,schedule_10_6_4_native,schedule_4_6_10_rms,schedule_10_6_4_rms,schedule_4_8_10_native,schedule_10_8_4_native,schedule_4_8_10_rms,schedule_10_8_4_rms,schedule_6_8_10_native,schedule_10_8_6_native,schedule_6_8_10_rms,schedule_10_8_6_rms,schedule_4_6_8_10_native,schedule_10_8_6_4_native,schedule_4_6_8_10_rms,schedule_10_8_6_4_rms
0.0,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732,84.97033706467732
0.1,74.27372572154457,75.00775586362477,77.9540963398722,82.91780058765704,84.73011821578689,74.25246441313811,75.00186289488374,75.15604467019784,75.83937403713503,74.92961926920367,76.80105274353741,75.5624475531871,77.33072085214002,77.0785006045611,78.8829109448024,76.98124896213062,79.4029239589629,75.87849284964818,76.93335998038253,76.31458807653348,77.40561234365396,78.19133730186229,79.16524625482612,78.00814851673806,79.52154426121302,80.3455696199627,80.12589795943734,79.64087309554782,80.04372560508915,74.81230458067859,76.45816115020642,75.4377960736607,77.07805757097611,75.96017970928995,77.72033278933645,76.39145470732558,78.29348791445489,76.97585316683455,78.60019370788217,76.88046935906311,78.97758790322973,77.88005926734456,78.76966757658857,77.69271690987642,79.09108397775788,75.86486232359164,77.75723988442422,76.15070845200012,78.3724301262389
0.2,70.28414822632669,71.21381490698366,73.8349081392704,81.42574304483878,84.44252070859966,70.07503806519668,71.31761140973299,70.62714141162559,71.82567195846946,69.93739369600132,73.4348828184439,70.60364498100836,73.54525936927894,72.10120769390738,76.71171423123661,72.33799339072527,76.85842842914542,70.98772429538036,73.13620220748226,71.59459924069648,73.39885624569422,73.2773886700258,76.60680769001374,73.35327355358095,76.83989309860885,76.64833877144969,77.59511465803564,75.73570597600292,77.51922158221078,69.95925920862459,72.88486906369235,70.61048976762072,73.12795665300666,70.80859348713506,74.75809848616541,71.43294244909146,75.0456159183135,71.87362671844596,75.54567992103256,72.22841535234335,75.69350612980156,73.03302115327028,75.4624296276852,73.08733081214967,75.70137829292486,70.6938931839141,74.76802467932521,71.36503657503664,74.92144832613269
0.25,69.73868613129753,70.4250036788228,72.7313057256174,80.64508178799827,84.35541821075299,69.4467486471579,70.69653955757707,69.59135750585392,70.93736575852165,68.75580054681689,72.73233598806462,69.25078255825747,72.71220609068041,70.07662529180391,76.47321440422957,70.80261613700458,76.76280033742643,69.64592926184395,72.79203719971645,70.27948783618257,72.64897222290296,71.30376497146881,76.22830459975398,71.6423510633432,76.50810737047078,75.07799204134153,76.91922010715871,74.384369223602,76.96695021255545,68.9655911665605,72.34288559247926,69.34519391010014,72.30352078967195,69.15369687476334,74.40416816166265,69.87658388206307,74.61326162463229,70.08945986042693,75.20410377234748,70.5279529158069,75.38946352881828,71.14022022255654,74.97887075321034,71.69080934678647,75.21909865072098,69.02006171552819,74.15711063417507,69.74913735261714,74.33946944936793
0.3,70.10888401971363,70.66196645101309,72.43546900335275,80.06951355446273,84.26551245501139,69.50123090559526,71.26300702340257,69.29202539730204,70.6252518386101,68.28982612574885,73.10680689122842,68.6873766718785,72.6273162311615,68.9059850856055,76.51612241546877,69.67214650465678,76.97782132565328,69.57948046124619,73.03315025318449,69.6605473241255,72.72008967618888,70.30665720737204,76.32349696846438,70.49834636960975,76.74075279512516,73.85196572949201,76.6105908599248,73.5582640044953,76.84172282222454,68.69575860880684,72.90533248792292,68.84861762990835,72.27121302270848,68.0972199986852,74.90189800778887,68.85230300430436,74.99333200262885,68.97517007847625,75.34245995127708,69.60901570869169,75.43156615143175,70.20797545327298,75.15185926556615,70.61583361158506,75.15045276287788,68.18482971986145,74.70278970223467,68.8505051659211,74.36750648014788
0.35,71.48666092138131,71.39970876397166,72.64105204028567,79.6352265686919,84.14620244772834,70.68638997869994,72.20258455728771,69.64924175753288,71.33253850549181,68.7056413236408,74.24726908712563,68.79911461063858,73.34084602450537,68.11973197165264,77.10910859891584,69.16493808095225,77.66169115057733,69.75926185609183,73.83783575526803,69.95156577861201,73.19480602932316,69.41379898615111,76.66134620662405,70.25376205431735,77.2535964697584,73.10682484824719,76.50564370269592,73.40939878261645,77.30804466462052,69.2247010137998,73.88134784587635,69.08610947530985,73.13240120196258,67.94395891688418,75.74595190670277,68.72510012743965,75.72003715766914,68.4986869258716,75.95387686522588,69.50241000379003,75.85308270179564,69.75404897300655,75.51492811371651,70.56751629391579,75.45264379538963,67.93674023962723,75.63392336239798,68.65819686581824,75.08583459689714
0.4,73.01053226829163,72.50847227510525,73.32253289259194,79.54231609662514,83.97502789858055,71.91990198247402,73.57922930038228,70.73301474232801,72.18019433618446,69.29604312970395,75.81001236464635,69.36686346561771,74.58243455881427,67.54244982668342,78.01080747250859,69.00336367464831,78.85701409603928,70.48296051780903,75.1832614271708,70.4507003231015,74.29418544894651,69.14646296135493,77.33433724180145,70.20480641711669,78.32563276733396,72.96688753320404,76.87927781329574,73.8604754270001,78.34467581367176,70.30488168342083,75.35053938684314,69.65901398978514,74.0657607767676,67.94033699906402,76.95902375584092,68.80550317129575,76.4531387822762,68.30441783294555,76.87498363948299,69.57108165461017,77.11697223075186,69.83699086356222,76.39137138790932,70.92164285565156,76.45815953347056,68.13879372161779,76.79683511779001,69.03689308401647,76.1280407188998
0.45,74.54040369083577,73.90116229241005,74.62640292999657,79.4415569222914,83.89825906737906,72.93235094212184,75.41966594526372,71.9051248531855,73.16059292128608,70.19756775314852,77.80143420020693,70.36164490968838,76.20284650798573,67.17630291386695,79.61945200853091,69.33927116343784,79.85326881215292,71.05653012615971,76.86665456044693,71.24376785965694,75.55473075311977,68.80407257024461,78.6544488981425,70.90157086029592,79.28976134269368,73.1280665899069,77.57415963190942,74.64243214707602,79.00283870134649,71.2512988307073,77.20792211827842,70.78472331766636,75.5800050356313,68.41359101315408,78.09801760139646,69.31546626106217,77.28331929335104,68.22867378731758,78.03485761189216,69.88627145654272,78.07770354865016,69.83394189536989,77.55329889900236,71.36942272057303,77.45384790557682,68.32471858917165,78.32001393745668,69.48446334724645,77.3585015367895
0.5,76.0858489357878,75.58043424155926,75.85814429131727,79.24642933701637,83.87585244711784,74.72543286810571,77.39164729431809,72.74855224505313,74.7281729488264,71.52877845207416,79.61495768568943,71.17479839187604,77.82238598717976,67.17403476260313,81.43142707362517,69.61626388893063,81.34933778910818,72.3020237489186,78.65606164263568,72.07308633673745,77.03236059110793,68.73921395120442,80.1503416835377,71.21132237343534,80.67434122954091,73.50653373063528,78.2716412329429,75.91955522785639,80.08122157373981,72.73245306307507,78.91801437727383,71.67265194674513,76.9500629891566,68.94878317690149,79.92611531118962,69.910312796374,79.11877121185353,68.50321821840271,79.70755007524247,70.06498520816967,79.65061722621664,70.0184049382301,78.91369346154636,71.85419058981483,79.02185980079838,68.84249146728587,79.97895730607041,69.99638367115159,78.80498083981723
0.55,78.22823688002296,77.81621309306536,77.48204612956351,79.39199999453763,83.71987139782044,76.9889750945128,79.55576096358357,74.03702832087487,76.61365790827256,73.35156299533128,81.6619284577356,72.39892184182224,79.4943543584144,67.39034593761363,83.07965281624053,70.25735084705434,83.48737714865018,73.73821993222714,80.90238417666171,73.38450834897174,78.8156628397087,68.96341721301468,81.70174825874767,71.80104299040835,82.79386965551623,73.9351452641007,79.18247397052426,77.34407866615214,81.7041220861023,74.48704635943386,80.93047180455392,73.13089864711884,78.59207856848548,69.86617282813734,81.96720280385614,70.75061867130063,81.38162823457412,69.05938628978424,81.24887981276225,70.83549901917905,81.28899471050602,70.47039426282765,80.59904352922081,72.31925625647335,80.67496090931854,70.35729803457599,82.2592447674516,71.1892128140903,81.02428985701124
