priority_block,arm,idea_id,family,role,strength,theta,fid,full_calls_per_image,sum_batch_gpu_seconds,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,complete
apg,semantic_direction_00,,semantic_direction,control,0.5,1.0,54.36352486794652,902.0,926.9283844535239,21.0,21.0,True
apg,semantic_direction_01,,semantic_direction,control,1.25,1.0,44.52832526676934,902.0,926.9176096902229,21.0,21.0,True
apg,semantic_direction_02,,semantic_direction,control,2.0,1.0,47.604791780284984,902.0,931.989810207393,21.0,21.0,True
apg,semantic_direction_03,,semantic_direction,control,2.75,1.0,52.020642436969865,902.0,925.732938780915,21.0,21.0,True
apg,projection_apg_00,,projection_apg,control,0.5,0.0,55.272329494696805,224.0,170.2523734299466,0.0,0.0,True
apg,projection_apg_03,,projection_apg,control,1.25,0.0,44.54156113060537,224.0,168.5719216633588,0.0,0.0,True
apg,projection_apg_06,,projection_apg,control,2.0,0.0,46.83036810947834,224.0,165.95262814918533,0.0,0.0,True
apg,projection_apg_09,,projection_apg,control,2.75,0.0,51.20592089084869,224.0,166.45833238447085,0.0,0.0,True
apg,i57_marginal_release_00,57,i57_marginal_release,candidate,0.5,0.0,58.395751788309326,648.32,595.6915362882428,10.0,10.0,True
apg,i57_marginal_release_01,57,i57_marginal_release,candidate,0.5,0.002,58.64877937641211,649.088,598.5849785986356,10.0,10.0,True
apg,i57_marginal_release_02,57,i57_marginal_release,candidate,0.5,0.01,59.34880304302669,651.136,596.9324973989278,10.0,10.0,True
apg,i57_marginal_release_03,57,i57_marginal_release,candidate,1.25,0.0,45.456933175058225,654.464,600.038244954776,10.0,10.0,True
apg,i57_marginal_release_04,57,i57_marginal_release,candidate,1.25,0.002,45.5047099470072,655.488,601.2431868873537,10.0,10.0,True
apg,i57_marginal_release_05,57,i57_marginal_release,candidate,1.25,0.01,46.01469696645802,656.0,598.996366685722,10.0,10.0,True
apg,i57_marginal_release_06,57,i57_marginal_release,candidate,2.0,0.0,43.91815880998598,655.488,602.5113569083624,10.0,10.0,True
apg,i57_marginal_release_07,57,i57_marginal_release,candidate,2.0,0.002,44.00911803577162,655.744,599.590253348928,10.0,10.0,True
apg,i57_marginal_release_08,57,i57_marginal_release,candidate,2.0,0.01,44.06208571221248,655.488,597.6355055705644,10.0,10.0,True
apg,i57_marginal_release_09,57,i57_marginal_release,candidate,2.75,0.0,45.16058065650054,655.488,599.2985290540382,10.0,10.0,True
apg,i57_marginal_release_10,57,i57_marginal_release,candidate,2.75,0.002,45.101177691020666,655.488,599.8609820520505,10.0,10.0,True
apg,i57_marginal_release_11,57,i57_marginal_release,candidate,2.75,0.01,45.00719269400105,655.232,598.2120582843199,10.0,10.0,True
apg,probability_null_release_00,,probability_null_release,control,0.5,0.5,66.17412936852628,415.488,365.9915906446986,5.0,5.0,True
apg,probability_null_release_01,,probability_null_release,control,1.25,0.5,52.41934695340274,413.568,366.41986167337745,5.0,5.0,True
apg,probability_null_release_02,,probability_null_release,control,2.0,0.5,48.24299838928965,408.192,361.55617208918557,5.0,5.0,True
apg,probability_null_release_03,,probability_null_release,control,2.75,0.5,47.75345412037791,400.384,356.18158158799633,5.0,5.0,True
apg,fixed_null_release_00,,fixed_null_release,control,0.5,0.25,125.81913460279463,160.0,123.85317314695567,0.0,0.0,True
apg,fixed_null_release_01,,fixed_null_release,control,0.5,0.5,82.55359436823755,192.0,144.86127430852503,0.0,0.0,True
apg,fixed_null_release_02,,fixed_null_release,control,0.5,0.75,58.56038745686567,224.0,167.6257083970122,0.0,0.0,True
apg,fixed_null_release_03,,fixed_null_release,control,1.25,0.25,109.15320888759157,160.0,126.47133505251259,0.0,0.0,True
apg,fixed_null_release_04,,fixed_null_release,control,1.25,0.5,57.150549273594606,192.0,146.76278412295505,0.0,0.0,True
apg,fixed_null_release_05,,fixed_null_release,control,1.25,0.75,44.85544102294102,224.0,168.58366881869733,0.0,0.0,True
apg,fixed_null_release_06,,fixed_null_release,control,2.0,0.25,97.12913810444343,160.0,124.55331807909533,0.0,0.0,True
apg,fixed_null_release_07,,fixed_null_release,control,2.0,0.5,48.38630484197438,192.0,144.22945981565863,0.0,0.0,True
apg,fixed_null_release_08,,fixed_null_release,control,2.0,0.75,46.139511990229494,224.0,168.10344631643966,0.0,0.0,True
apg,fixed_null_release_09,,fixed_null_release,control,2.75,0.25,87.28463810544321,160.0,124.55327924201265,0.0,0.0,True
apg,fixed_null_release_10,,fixed_null_release,control,2.75,0.5,46.66919331484047,192.0,152.69249273044989,0.0,0.0,True
apg,fixed_null_release_11,,fixed_null_release,control,2.75,0.75,50.30438818609514,224.0,173.7916425028816,0.0,0.0,True
apg,projection_apg_01,,projection_apg,control,0.5,0.5,54.77266703544683,224.0,170.94056001631543,0.0,0.0,True
apg,projection_apg_02,,projection_apg,control,0.5,1.0,54.21882883591792,224.0,169.46038366761059,0.0,0.0,True
apg,projection_apg_04,,projection_apg,control,1.25,0.5,44.85317863491292,224.0,168.28980538761243,0.0,0.0,True
apg,projection_apg_05,,projection_apg,control,1.25,1.0,45.698211797074464,224.0,171.17570195812732,0.0,0.0,True
apg,projection_apg_07,,projection_apg,control,2.0,0.5,48.04356656904463,224.0,169.3089211205952,0.0,0.0,True
apg,projection_apg_08,,projection_apg,control,2.0,1.0,49.61794571932114,224.0,169.35332201607525,0.0,0.0,True
apg,projection_apg_10,,projection_apg,control,2.75,0.5,52.730649684187085,224.0,168.06235485244542,0.0,0.0,True
apg,projection_apg_11,,projection_apg,control,2.75,1.0,54.65823472714612,224.0,167.1653333553113,0.0,0.0,True
apg,i56_future_eta_00,56,i56_future_eta,candidate,0.5,0.0,55.22323718096902,704.0,617.81797742052,9.0,9.0,True
apg,i56_future_eta_01,56,i56_future_eta,candidate,0.5,0.1,55.22673255980038,704.0,615.244186907541,9.0,9.0,True
apg,i56_future_eta_02,56,i56_future_eta,candidate,0.5,1.0,55.284509721898814,704.0,614.9551653158851,9.0,9.0,True
apg,i56_future_eta_03,56,i56_future_eta,candidate,1.25,0.0,44.527007207594124,704.0,616.0415973737836,9.0,9.0,True
apg,i56_future_eta_04,56,i56_future_eta,candidate,1.25,0.1,44.53407685359832,704.0,615.5679333833978,9.0,9.0,True
apg,i56_future_eta_05,56,i56_future_eta,candidate,1.25,1.0,44.53079974133931,704.0,615.5013262755238,9.0,9.0,True
apg,i56_future_eta_06,56,i56_future_eta,candidate,2.0,0.0,47.142316684799255,704.0,616.9475784287788,9.0,9.0,True
apg,i56_future_eta_07,56,i56_future_eta,candidate,2.0,0.1,47.058321818463924,704.0,619.3615685980767,9.0,9.0,True
apg,i56_future_eta_08,56,i56_future_eta,candidate,2.0,1.0,46.87789748718177,704.0,615.6128400717862,9.0,9.0,True
apg,i56_future_eta_09,56,i56_future_eta,candidate,2.75,0.0,51.58410188336245,704.0,613.7795500275679,9.0,9.0,True
apg,i56_future_eta_10,56,i56_future_eta,candidate,2.75,0.1,51.50003442407319,704.0,615.6414139042608,9.0,9.0,True
apg,i56_future_eta_11,56,i56_future_eta,candidate,2.75,1.0,51.31647758614872,704.0,614.1960772466846,9.0,9.0,True
apg,moment_without_semantic_00,,moment_without_semantic,control,0.5,1.0,53.46926080955211,902.0,927.7285678279586,21.0,21.0,True
apg,moment_without_semantic_01,,moment_without_semantic,control,1.25,1.0,44.49907417251944,902.0,923.7887200396508,21.0,21.0,True
apg,moment_without_semantic_02,,moment_without_semantic,control,2.0,1.0,48.504917321180415,902.0,927.4540984397754,21.0,21.0,True
apg,moment_without_semantic_03,,moment_without_semantic,control,2.75,1.0,52.87742998626561,902.0,929.2510649790056,21.0,21.0,True
apg,i55_future_moment_apg_00,55,i55_future_moment_apg,candidate,0.5,0.1,53.76243473479195,902.0,927.1279880991206,21.0,21.0,True
apg,i55_future_moment_apg_01,55,i55_future_moment_apg,candidate,0.5,1.0,53.89403669935268,902.0,925.4766487199813,21.0,21.0,True
apg,i55_future_moment_apg_02,55,i55_future_moment_apg,candidate,0.5,10.0,54.379759654050815,902.0,923.3620984265581,21.0,21.0,True
apg,i55_future_moment_apg_03,55,i55_future_moment_apg,candidate,1.25,0.1,44.4846398237155,902.0,923.7901247977279,21.0,21.0,True
apg,i55_future_moment_apg_04,55,i55_future_moment_apg,candidate,1.25,1.0,44.44254248777008,902.0,923.2351139239036,21.0,21.0,True
apg,i55_future_moment_apg_05,55,i55_future_moment_apg,candidate,1.25,10.0,44.405478723413694,902.0,926.2620243653655,21.0,21.0,True
