step,branch,t_min,t_max,count,internal_velocity_mse,internal_native_mse,frozen_velocity_mse,full_internal_gap_rms,direction_residual_cosine,positive_alignment_fraction
50000,raw,0.0,0.2,448,0.6367597126934145,0.5161879061987358,0.6262172600919647,0.09496257333583864,0.0038676586540304925,0.5245535714285714
50000,raw,0.2,0.4,402,0.7218350209851763,0.35452064389909677,0.6833117479337981,0.19372414096967497,-0.006149966723236801,0.417910447761194
50000,raw,0.4,0.6,436,0.9268265110910485,0.23695648810185424,0.8094778853135371,0.3397708728294307,-0.005803588263411215,0.43119266055045874
50000,raw,0.6,0.8,402,1.1966889371622855,0.10597937896069307,0.8920449546320521,0.5481097366827637,-0.0039626511832249155,0.4228855721393035
50000,raw,0.8,1.0,360,3.304617300629616,0.029390889292375908,0.9963697838286559,1.3781115477283796,0.0009537928922226355,0.5444444444444444
50000,ema,0.0,0.2,448,0.6366096213459969,0.5160858339763114,0.6262172600919647,0.0950366435156736,0.0030478232780686604,0.5245535714285714
50000,ema,0.2,0.4,402,0.7218418112441675,0.35452161462449316,0.6833117479337981,0.19364712431804457,-0.006162870128796001,0.4079601990049751
50000,ema,0.4,0.6,436,0.9266584944834403,0.23691036418900577,0.8094778853135371,0.33927538611610003,-0.005667938239606249,0.4288990825688073
50000,ema,0.6,0.8,402,1.1985343543451223,0.106094848670399,0.8920449546320521,0.5494243919997666,-0.0038859620908624493,0.4253731343283582
50000,ema,0.8,1.0,360,3.32071575820446,0.0294575518113561,0.9963697838286559,1.38320864935716,0.0006960881361010252,0.5194444444444445
