gamma,best_response_scale,fid,sfid,inception_score,total_nfe,num_samples,global_seed
1.00,1.50,75.05344457339686,215.69631333197515,29.83669662475586,7852,1000,0
1.50,1.35,74.92696854155383,215.4338420508252,30.75608253479004,7828,1000,0
2.00,1.35,75.07909472927037,215.35381568697017,29.671295166015625,8002,1000,0
2.50,1.35,75.17245155029696,215.2172462326546,29.841670989990234,8110,1000,0
3.00,1.30,75.73608311960254,215.39744707800878,30.065771102905273,8170,1000,0
