condition,formula,gamma,response_scale,fid,sfid,inception_score,total_nfe,num_samples,global_seed
factorized_response_best,S(b)+rho*[S(z)-S(b)]+gamma*g_b,1.50,1.35,74.92696854155383,215.4338420508252,30.75608253479004,7828,1000,0
closed_autoguidance,S(z)+gamma*[S(z)-W(z)],3.0,1.0,74.4795421124332,217.8689815350092,32.3688850402832,8914,1000,0
