cycle,source,arm,samples,fid,sfid,inception_score,gpu_seconds,full_calls,prefix_calls,matched_control,delta_fid_vs_matched_control
objective,ig,ig_original_00,1000,65.40124492880051,207.95034025621612,37.248714447021484,96.82849516859278,128.0,0.0,ig_native_00,0.5515046779390218
objective,ig,ig_native_00,1000,64.84974025086149,208.66921936950985,36.95796585083008,107.803285964299,128.0,0.0,ig_native_00,0.0
objective,ig,ig_direct_00,1000,64.79466219619457,208.41947118315238,37.0272216796875,101.3977958522737,128.0,0.0,ig_native_00,-0.055078054666921616
objective,cfg,cfg_original_00,1000,45.70778872599459,206.41108153163952,60.68752670288086,154.7572053791955,224.0,0.0,cfg_native_00,0.26936495706968344
objective,cfg,cfg_native_00,1000,45.438423768924906,206.53765691820024,60.52886199951172,155.72723686415702,224.0,0.0,cfg_native_00,0.0
objective,cfg,cfg_direct_00,1000,45.65534666236016,206.49621247898835,60.99018478393555,156.44196059089154,224.0,0.0,cfg_native_00,0.21692289343525317
objective,cfg,cfg_apg_07,1000,44.503619402929985,209.849909739248,62.446502685546875,174.221297533717,224.0,0.0,cfg_native_00,-0.9348043659949212
objective,ig,ig_adg_reference_00,1000,64.6905805105041,207.43806234792999,37.40346145629883,116.53174964385107,128.0,0.0,ig_native_00,-0.15915974035738145
data_source,ig,ig_original_00,1000,65.40238606012122,207.9554173586548,37.25016784667969,99.9527503233403,128.0,0.0,ig_real_00,0.3801897842225799
data_source,ig,ig_real_00,1000,65.02219627589864,208.55557216421948,36.618892669677734,101.67007310921326,128.0,0.0,ig_real_00,0.0
data_source,ig,ig_ig_00,1000,64.53671252616482,208.3168835965173,38.49274444580078,102.2406703978777,128.0,0.0,ig_real_00,-0.4854837497338167
data_source,ig,ig_cfg_00,1000,69.1405511041392,208.8039112442616,35.53178024291992,99.26675125770271,128.0,0.0,ig_real_00,4.1183548282405695
data_source,cfg,cfg_original_00,1000,45.707899746231135,206.41129682770998,60.67508316040039,156.88240275299177,224.0,0.0,cfg_real_00,0.17063061565681892
data_source,cfg,cfg_real_00,1000,45.537269130574316,206.38660873802633,60.64315414428711,158.1448031598702,224.0,0.0,cfg_real_00,0.0
data_source,cfg,cfg_ig_00,1000,45.561636793546825,209.5881913625351,61.494869232177734,156.77104610204697,224.0,0.0,cfg_real_00,0.024367662972508697
data_source,cfg,cfg_cfg_00,1000,45.05699940132513,207.8740302230858,61.59566879272461,158.25447267154232,224.0,0.0,cfg_real_00,-0.4802697292491871
data_source,cfg,cfg_apg_07,1000,44.503787329959266,209.8526513600417,62.445194244384766,173.45731542166322,224.0,0.0,cfg_real_00,-1.03348180061505
data_source,ig,ig_adg_reference_00,1000,64.69156705550739,207.43779560712085,37.405155181884766,111.9514211975038,128.0,0.0,ig_real_00,-0.33062922039124487
