arm,idea_id,family,role,strength,theta,fid,sfid,inception_score,full_calls_per_image,prefix_calls_per_image,auxiliary_full_calls_per_image,sum_batch_gpu_seconds,complete
strong_00,,strong,native,0.0,0.0,82.81501664809178,219.36930409694696,29.57046127319336,128.0,0.0,0.0,129.81172215472907,True
ig_native_00,,ig_native,native,0.5,0.0,66.63085411612633,207.17214690385663,36.79373550415039,128.0,0.0,0.0,168.40227558277547,True
ig_native_01,,ig_native,native,0.6,0.0,65.84915796637569,206.93577584249886,36.09621810913086,128.0,0.0,0.0,164.15295878751203,True
ig_native_02,,ig_native,native,0.7,0.0,65.10118440005567,207.08049904350923,35.708255767822266,128.0,0.0,0.0,102.74288387177512,True
ig_native_03,,ig_native,native,0.8,0.0,65.03779093351659,207.57413762461067,36.262203216552734,128.0,0.0,0.0,101.84442465053871,True
ig_native_04,,ig_native,native,0.9,0.0,65.4828819606575,208.9898050659432,34.96836853027344,128.0,0.0,0.0,102.55791400233284,True
ig_native_05,,ig_native,native,1.0,0.0,66.52724364405782,210.48021834668612,35.2249755859375,128.0,0.0,0.0,101.69806886091828,True
ig_dopri_00,,ig_dopri,native,0.7,0.0,64.99782861844216,206.8771227923387,35.69735336303711,113.92,0.0,0.0,92.58676549280062,True
ig_local_00,,ig_local,control,0.8,2.0,63.0638793775081,208.59117485901947,37.121917724609375,128.0,64.0,0.0,123.96142753679305,True
cfg_native_00,,cfg_native,native,0.25,0.0,63.64469937054923,215.69848342126602,40.51493453979492,224.0,0.0,0.0,165.871715339832,True
cfg_native_01,,cfg_native,native,0.5,0.0,52.7314349328492,212.69591110216538,48.42979431152344,224.0,0.0,0.0,165.1566586215049,True
cfg_native_02,,cfg_native,native,0.75,0.0,48.1531477711971,209.92962811848474,54.18069076538086,224.0,0.0,0.0,166.3585322862491,True
cfg_native_03,,cfg_native,native,1.0,0.0,45.57757966567516,207.7955206637323,58.549129486083984,224.0,0.0,0.0,166.64222561009228,True
cfg_native_04,,cfg_native,native,1.25,0.0,45.03860422486213,206.45303377077676,64.4782485961914,224.0,0.0,0.0,165.14787172758952,True
cfg_native_05,,cfg_native,native,1.5,0.0,45.78669828185565,205.7741799525336,66.58375549316406,224.0,0.0,0.0,170.15161332674325,True
cfg_native_06,,cfg_native,native,1.75,0.0,47.0669926942154,205.12407754522883,67.04457092285156,224.0,0.0,0.0,166.92317361570895,True
cfg_native_07,,cfg_native,native,2.0,0.0,48.92192207430054,205.5813548916251,68.59292602539062,224.0,0.0,0.0,168.72210241807625,True
cfg_native_08,,cfg_native,native,2.25,0.0,50.947298446827745,205.93793854006572,70.17253875732422,224.0,0.0,0.0,168.01596599025652,True
cfg_native_09,,cfg_native,native,2.5,0.0,52.761133037446314,206.1749079620289,70.99202728271484,224.0,0.0,0.0,168.70555080799386,True
cfg_native_10,,cfg_native,native,2.75,0.0,54.5443186704988,206.7013561843048,72.3459701538086,224.0,0.0,0.0,170.69484490295872,True
cfg_native_11,,cfg_native,native,3.0,0.0,55.929781826088174,207.49751150648876,72.90824127197266,224.0,0.0,0.0,170.9953643763438,True
