horizon,logdet_relative_map,integrated_divergence_difference,absolute_error
0.05,0.012499999999999801,0.0125,1.9949319973733282e-16
0.2,0.049999999999999885,0.05,1.1796119636642288e-16
0.5,0.125,0.125,0.0
