model,track,candidate_fid,best_control,best_control_fid,delta,inception_ratio,passes,strong_abba_minus_native
sit_small,cfg,101.17221942715543,cfg_native,78.42628757860439,22.745931848551038,0.7034160978204749,False,51.02729485154299
sit_small,ig,134.25126980202538,ig_native,103.43855615150125,30.81271365052413,0.8087688760558325,False,51.02729485154299
raev2,cfg,98.6585642405663,cfg_half,95.66621125270422,2.992352987862091,0.9226084975199809,False,5.858805713354457
raev2,ig,98.9981234773669,ig_half,95.48929389184053,3.508829585526371,0.9328444720846527,False,5.858805713354457
