model,arm,fid,inception_score,seconds,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference
sit_small,strong_native,126.31479332653788,28.730018615722656,37.45262176077813,400,400,128,0
sit_small,strong_abba,177.34208817808087,16.016420364379883,37.40598801989108,400,400,128,0
sit_small,cfg_native,78.42628757860439,61.37522506713867,60.52677700622007,400,400,224,0
sit_small,cfg_half,86.30024243592146,46.799034118652344,60.799766468815506,400,400,224,0
sit_small,cfg_fixed_flip,140.60985237278572,30.501943588256836,60.852131257299334,400,400,224,0
sit_small,cfg_abba,101.17221942715543,43.17232131958008,60.55087026860565,400,400,224,0
sit_small,cfg_mismatched,101.17124251693673,43.16965866088867,60.29665892571211,400,400,224,0
sit_small,ig_native,103.43855615150125,32.90156555175781,37.66025478113443,400,400,128,0
sit_small,ig_half,106.74180006456561,32.175811767578125,37.91758302319795,400,400,128,0
sit_small,ig_fixed_flip,164.74832662782597,20.238452911376953,38.200769011396915,400,400,128,0
sit_small,ig_abba,134.25126980202538,26.60976219177246,38.9071658635512,400,400,128,0
raev2,strong_native,95.53635152119278,25.623659133911133,317.2651359126903,400,400,100,0
raev2,strong_abba,101.39515723454724,22.821879386901855,317.70856856228784,400,400,100,0
raev2,cfg_native,97.73359092277315,30.76006622314453,632.8042895249091,400,400,200,0
raev2,cfg_half,95.66621125270422,30.04212017059326,638.5399961569346,400,400,200,0
raev2,cfg_fixed_flip,105.30575861008549,24.498110198974608,636.5231017689221,400,400,200,0
raev2,cfg_abba,98.6585642405663,28.37949848175049,632.0935268294998,400,400,200,0
raev2,cfg_mismatched,98.36074343074563,28.175679206848145,632.5988146653399,400,400,200,0
raev2,ig_native,95.96413329122072,27.454081726074218,317.25572330970317,400,400,100,0
raev2,ig_half,95.48929389184053,26.80356388092041,317.19944977620617,400,400,100,0
raev2,ig_fixed_flip,114.88738093153006,21.2032808303833,317.3356471178122,400,400,100,0
raev2,ig_abba,98.9981234773669,25.610388374328615,318.38249097950757,400,400,100,0
